# unidata-5.1.0.txt
# Date: 2008-03-04, 10:55:08 PST [KW]
#
# This file defines the Default Unicode Collation Element Table
#   (DUCET) for the Unicode Collation Algorithm
#
# Copyright (c) 2001-2008 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# See UTS #10, Unicode Collation Algorithm, for more information.
#
# Diagnostic weight ranges
# Primary weight range:   0200..3266 (12391)
# Secondary weight range: 0020..01DE (447)
# Variant secondaries:    01AF..01B4 (6)
# Digit secondaries:      01B5..01DE (42)
# Tertiary weight range:  0002..001F (30)
#
@version 5.1.0

A73B  ; [.1141.0020.0004.A73B][.0000.01AF.0004.A73B][.13AD.0020.001F.A73B] # LATIN SMALL LETTER AV WITH HORIZONTAL BAR; QQKN
A73A  ; [.1141.0020.000A.A73A][.0000.01AF.0004.A73A][.13AD.0020.001F.A73A] # LATIN CAPITAL LETTER AV WITH HORIZONTAL BAR; QQKN
A73D  ; [.1141.0020.0004.A73D][.13CE.0020.0004.A73D] # LATIN SMALL LETTER AY; QQKN
A73C  ; [.1141.0020.000A.A73C][.13CE.0020.000A.A73C] # LATIN CAPITAL LETTER AY; QQKN
1E9A  ; [.1141.0020.0004.1E9A][.143F.0020.0004.1E9A] # LATIN SMALL LETTER A WITH RIGHT HALF RING; QQKN
1D00  ; [.1145.0020.0002.1D00] # LATIN LETTER SMALL CAPITAL A
2C65  ; [.1146.0020.0002.2C65] # LATIN SMALL LETTER A WITH STROKE
023A  ; [.1146.0020.0008.023A] # LATIN CAPITAL LETTER A WITH STROKE
1D8F  ; [.1147.0020.0002.1D8F] # LATIN SMALL LETTER A WITH RETROFLEX HOOK
1D01  ; [.1148.0020.0002.1D01] # LATIN LETTER SMALL CAPITAL AE
1D02  ; [.1149.0020.0002.1D02] # LATIN SMALL LETTER TURNED AE
1D46  ; [.1149.0020.0014.1D46] # MODIFIER LETTER SMALL TURNED AE; QQK
0250  ; [.114A.0020.0002.0250] # LATIN SMALL LETTER TURNED A
2C6F  ; [.114A.0020.0008.2C6F] # LATIN CAPITAL LETTER TURNED A
1D44  ; [.114A.0020.0014.1D44] # MODIFIER LETTER SMALL TURNED A; QQK
0251  ; [.114E.0020.0002.0251] # LATIN SMALL LETTER ALPHA
2C6D  ; [.114E.0020.0008.2C6D] # LATIN CAPITAL LETTER ALPHA
1D45  ; [.114E.0020.0014.1D45] # MODIFIER LETTER SMALL ALPHA; QQK
1D90  ; [.1152.0020.0002.1D90] # LATIN SMALL LETTER ALPHA WITH RETROFLEX HOOK
0252  ; [.1153.0020.0002.0252] # LATIN SMALL LETTER TURNED ALPHA
1D9B  ; [.1153.0020.0014.1D9B] # MODIFIER LETTER SMALL TURNED ALPHA; QQK
0062  ; [.1157.0020.0002.0062] # LATIN SMALL LETTER B
FF42  ; [.1157.0020.0003.FF42] # FULLWIDTH LATIN SMALL LETTER B; QQK
249D  ; [*02C8.0020.0004.249D][.1157.0020.0004.249D][*02C9.0020.001F.249D] # PARENTHESIZED LATIN SMALL LETTER B; QQKN
24D1  ; [.1157.0020.0006.24D1] # CIRCLED LATIN SMALL LETTER B; QQK
0042  ; [.1157.0020.0008.0042] # LATIN CAPITAL LETTER B
FF22  ; [.1157.0020.0009.FF22] # FULLWIDTH LATIN CAPITAL LETTER B; QQK
212C  ; [.1157.0020.000B.212C] # SCRIPT CAPITAL B; QQK
24B7  ; [.1157.0020.000C.24B7] # CIRCLED LATIN CAPITAL LETTER B; QQK
1D47  ; [.1157.0020.0014.1D47] # MODIFIER LETTER SMALL B; QQK
1D2E  ; [.1157.0020.001D.1D2E] # MODIFIER LETTER CAPITAL B; QQK
1E03  ; [.1157.0020.0002.0062][.0000.0052.0002.0307] # LATIN SMALL LETTER B WITH DOT ABOVE; QQCM
1E02  ; [.1157.0020.0008.0042][.0000.0052.0002.0307] # LATIN CAPITAL LETTER B WITH DOT ABOVE; QQCM
1E05  ; [.1157.0020.0002.0062][.0000.007A.0002.0323] # LATIN SMALL LETTER B WITH DOT BELOW; QQCM
1E04  ; [.1157.0020.0008.0042][.0000.007A.0002.0323] # LATIN CAPITAL LETTER B WITH DOT BELOW; QQCM
1E07  ; [.1157.0020.0002.0062][.0000.008A.0002.0331] # LATIN SMALL LETTER B WITH LINE BELOW; QQCM
1E06  ; [.1157.0020.0008.0042][.0000.008A.0002.0331] # LATIN CAPITAL LETTER B WITH LINE BELOW; QQCM
3374  ; [.1157.0020.001C.3374][.1141.0020.001C.3374][.130C.0020.001F.3374] # SQUARE BAR; QQKN
33C3  ; [.1157.0020.001D.33C3][.12FA.0020.001C.33C3] # SQUARE BQ; QQKN
0299  ; [.115B.0020.0002.0299] # LATIN LETTER SMALL CAPITAL B
0180  ; [.115F.0020.0002.0180] # LATIN SMALL LETTER B WITH STROKE
0243  ; [.115F.0020.0008.0243] # LATIN CAPITAL LETTER B WITH STROKE
1D2F  ; [.1163.0020.0002.1D2F] # MODIFIER LETTER CAPITAL BARRED B
1D03  ; [.1164.0020.0002.1D03] # LATIN LETTER SMALL CAPITAL BARRED B
1D6C  ; [.1165.0020.0002.1D6C] # LATIN SMALL LETTER B WITH MIDDLE TILDE
1D80  ; [.1166.0020.0002.1D80] # LATIN SMALL LETTER B WITH PALATAL HOOK
0253  ; [.1167.0020.0002.0253] # LATIN SMALL LETTER B WITH HOOK
0181  ; [.1167.0020.0008.0181] # LATIN CAPITAL LETTER B WITH HOOK
0183  ; [.116B.0020.0002.0183] # LATIN SMALL LETTER B WITH TOPBAR
0182  ; [.116B.0020.0008.0182] # LATIN CAPITAL LETTER B WITH TOPBAR
0063  ; [.116F.0020.0002.0063] # LATIN SMALL LETTER C
FF43  ; [.116F.0020.0003.FF43] # FULLWIDTH LATIN SMALL LETTER C; QQK
0368  ; [.116F.0020.0004.0368] # COMBINING LATIN SMALL LETTER C; QQK
217D  ; [.116F.0020.0004.217D] # SMALL ROMAN NUMERAL ONE HUNDRED; QQK
249E  ; [*02C8.0020.0004.249E][.116F.0020.0004.249E][*02C9.0020.001F.249E] # PARENTHESIZED LATIN SMALL LETTER C; QQKN
24D2  ; [.116F.0020.0006.24D2] # CIRCLED LATIN SMALL LETTER C; QQK
0043  ; [.116F.0020.0008.0043] # LATIN CAPITAL LETTER C
FF23  ; [.116F.0020.0009.FF23] # FULLWIDTH LATIN CAPITAL LETTER C; QQK
2103  ; [*03FE.0020.0004.2103][.116F.0020.000A.2103] # DEGREE CELSIUS; QQKN
216D  ; [.116F.0020.000A.216D] # ROMAN NUMERAL ONE HUNDRED; QQK
2102  ; [.116F.0020.000B.2102] # DOUBLE-STRUCK CAPITAL C; QQK
212D  ; [.116F.0020.000B.212D] # BLACK-LETTER CAPITAL C; QQK
24B8  ; [.116F.0020.000C.24B8] # CIRCLED LATIN CAPITAL LETTER C; QQK
1D9C  ; [.116F.0020.0014.1D9C] # MODIFIER LETTER SMALL C; QQK
0107  ; [.116F.0020.0002.0063][.0000.0032.0002.0301] # LATIN SMALL LETTER C WITH ACUTE; QQCM
0106  ; [.116F.0020.0008.0043][.0000.0032.0002.0301] # LATIN CAPITAL LETTER C WITH ACUTE; QQCM
