# unidata-5.1.0.txt
# Date: 2008-03-04, 10:55:08 PST [KW]
#
# This file defines the Default Unicode Collation Element Table
#   (DUCET) for the Unicode Collation Algorithm
#
# Copyright (c) 2001-2008 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# See UTS #10, Unicode Collation Algorithm, for more information.
#
# Diagnostic weight ranges
# Primary weight range:   0200..3266 (12391)
# Secondary weight range: 0020..01DE (447)
# Variant secondaries:    01AF..01B4 (6)
# Digit secondaries:      01B5..01DE (42)
# Tertiary weight range:  0002..001F (30)
#
@version 5.1.0

A751  ; [.12EB.0020.0002.A751] # LATIN SMALL LETTER P WITH STROKE THROUGH DESCENDER
A750  ; [.12EB.0020.0008.A750] # LATIN CAPITAL LETTER P WITH STROKE THROUGH DESCENDER
01A5  ; [.12EE.0020.0002.01A5] # LATIN SMALL LETTER P WITH HOOK
01A4  ; [.12EE.0020.0008.01A4] # LATIN CAPITAL LETTER P WITH HOOK
A753  ; [.12F2.0020.0002.A753] # LATIN SMALL LETTER P WITH FLOURISH
A752  ; [.12F2.0020.0008.A752] # LATIN CAPITAL LETTER P WITH FLOURISH
A755  ; [.12F3.0020.0002.A755] # LATIN SMALL LETTER P WITH SQUIRREL TAIL
A754  ; [.12F3.0020.0008.A754] # LATIN CAPITAL LETTER P WITH SQUIRREL TAIL
A7FC  ; [.12F4.0020.0002.A7FC] # LATIN EPIGRAPHIC LETTER REVERSED P
0278  ; [.12F5.0020.0002.0278] # LATIN SMALL LETTER PHI
2C77  ; [.12F9.0020.0002.2C77] # LATIN SMALL LETTER TAILLESS PHI
0071  ; [.12FA.0020.0002.0071] # LATIN SMALL LETTER Q
FF51  ; [.12FA.0020.0003.FF51] # FULLWIDTH LATIN SMALL LETTER Q; QQK
24AC  ; [*02C8.0020.0004.24AC][.12FA.0020.0004.24AC][*02C9.0020.001F.24AC] # PARENTHESIZED LATIN SMALL LETTER Q; QQKN
24E0  ; [.12FA.0020.0006.24E0] # CIRCLED LATIN SMALL LETTER Q; QQK
0051  ; [.12FA.0020.0008.0051] # LATIN CAPITAL LETTER Q
FF31  ; [.12FA.0020.0009.FF31] # FULLWIDTH LATIN CAPITAL LETTER Q; QQK
211A  ; [.12FA.0020.000B.211A] # DOUBLE-STRUCK CAPITAL Q; QQK
24C6  ; [.12FA.0020.000C.24C6] # CIRCLED LATIN CAPITAL LETTER Q; QQK
0239  ; [.12FA.0020.0004.0239][.12E5.0020.0004.0239] # LATIN SMALL LETTER QP DIGRAPH; QQKN
A757  ; [.12FE.0020.0002.A757] # LATIN SMALL LETTER Q WITH STROKE THROUGH DESCENDER
A756  ; [.12FE.0020.0008.A756] # LATIN CAPITAL LETTER Q WITH STROKE THROUGH DESCENDER
A759  ; [.12FF.0020.0002.A759] # LATIN SMALL LETTER Q WITH DIAGONAL STROKE
A758  ; [.12FF.0020.0008.A758] # LATIN CAPITAL LETTER Q WITH DIAGONAL STROKE
02A0  ; [.1300.0020.0002.02A0] # LATIN SMALL LETTER Q WITH HOOK
024B  ; [.1304.0020.0002.024B] # LATIN SMALL LETTER Q WITH HOOK TAIL
024A  ; [.1304.0020.0008.024A] # LATIN CAPITAL LETTER SMALL Q WITH HOOK TAIL
0138  ; [.1308.0020.0002.0138] # LATIN SMALL LETTER KRA
0072  ; [.130C.0020.0002.0072] # LATIN SMALL LETTER R
FF52  ; [.130C.0020.0003.FF52] # FULLWIDTH LATIN SMALL LETTER R; QQK
036C  ; [.130C.0020.0004.036C] # COMBINING LATIN SMALL LETTER R; QQK
24AD  ; [*02C8.0020.0004.24AD][.130C.0020.0004.24AD][*02C9.0020.001F.24AD] # PARENTHESIZED LATIN SMALL LETTER R; QQKN
24E1  ; [.130C.0020.0006.24E1] # CIRCLED LATIN SMALL LETTER R; QQK
0052  ; [.130C.0020.0008.0052] # LATIN CAPITAL LETTER R
FF32  ; [.130C.0020.0009.FF32] # FULLWIDTH LATIN CAPITAL LETTER R; QQK
211B  ; [.130C.0020.000B.211B] # SCRIPT CAPITAL R; QQK
211C  ; [.130C.0020.000B.211C] # BLACK-LETTER CAPITAL R; QQK
211D  ; [.130C.0020.000B.211D] # DOUBLE-STRUCK CAPITAL R; QQK
24C7  ; [.130C.0020.000C.24C7] # CIRCLED LATIN CAPITAL LETTER R; QQK
02B3  ; [.130C.0020.0014.02B3] # MODIFIER LETTER SMALL R; QQK
0155  ; [.130C.0020.0002.0072][.0000.0032.0002.0301] # LATIN SMALL LETTER R WITH ACUTE; QQCM
0154  ; [.130C.0020.0008.0052][.0000.0032.0002.0301] # LATIN CAPITAL LETTER R WITH ACUTE; QQCM
0159  ; [.130C.0020.0002.0072][.0000.0041.0002.030C] # LATIN SMALL LETTER R WITH CARON; QQCM
0158  ; [.130C.0020.0008.0052][.0000.0041.0002.030C] # LATIN CAPITAL LETTER R WITH CARON; QQCM
1E59  ; [.130C.0020.0002.0072][.0000.0052.0002.0307] # LATIN SMALL LETTER R WITH DOT ABOVE; QQCM
1E58  ; [.130C.0020.0008.0052][.0000.0052.0002.0307] # LATIN CAPITAL LETTER R WITH DOT ABOVE; QQCM
0157  ; [.130C.0020.0002.0072][.0000.0056.0002.0327] # LATIN SMALL LETTER R WITH CEDILLA; QQCM
0156  ; [.130C.0020.0008.0052][.0000.0056.0002.0327] # LATIN CAPITAL LETTER R WITH CEDILLA; QQCM
0211  ; [.130C.0020.0002.0072][.0000.0063.0002.030F] # LATIN SMALL LETTER R WITH DOUBLE GRAVE; QQCM
0210  ; [.130C.0020.0008.0052][.0000.0063.0002.030F] # LATIN CAPITAL LETTER R WITH DOUBLE GRAVE; QQCM
0213  ; [.130C.0020.0002.0072][.0000.0065.0002.0311] # LATIN SMALL LETTER R WITH INVERTED BREVE; QQCM
0212  ; [.130C.0020.0008.0052][.0000.0065.0002.0311] # LATIN CAPITAL LETTER R WITH INVERTED BREVE; QQCM
1E5B  ; [.130C.0020.0002.0072][.0000.007A.0002.0323] # LATIN SMALL LETTER R WITH DOT BELOW; QQCM
1E5A  ; [.130C.0020.0008.0052][.0000.007A.0002.0323] # LATIN CAPITAL LETTER R WITH DOT BELOW; QQCM
1E5D  ; [.130C.0020.0002.0072][.0000.007A.0002.0323][.0000.005B.0002.0304] # LATIN SMALL LETTER R WITH DOT BELOW AND MACRON; QQCM
1E5C  ; [.130C.0020.0008.0052][.0000.007A.0002.0323][.0000.005B.0002.0304] # LATIN CAPITAL LETTER R WITH DOT BELOW AND MACRON; QQCM
1E5F  ; [.130C.0020.0002.0072][.0000.008A.0002.0331] # LATIN SMALL LETTER R WITH LINE BELOW; QQCM
1E5E  ; [.130C.0020.0008.0052][.0000.008A.0002.0331] # LATIN CAPITAL LETTER R WITH LINE BELOW; QQCM
A783  ; [.130C.0020.0004.A783][.0000.01B0.0004.A783] # LATIN SMALL LETTER INSULAR R; QQKN
A782  ; [.130C.0020.000A.A782][.0000.01B0.0004.A782] # LATIN CAPITAL LETTER INSULAR R; QQKN
33AD  ; [.130C.0020.001C.33AD][.1141.0020.001C.33AD][.1182.0020.001F.33AD] # SQUARE RAD; QQKN
33AE  ; [.130C.0020.001C.33AE][.1141.0020.001C.33AE][.1182.0020.001F.33AE][*050B.0020.001F.33AE][.1342.0020.001F.33AE] # SQUARE RAD OVER S; QQKN
33AF  ; [.130C.0020.001C.33AF][.1141.0020.001C.33AF][.1182.0020.001F.33AF][*050B.0020.001F.33AF][.1342.0020.001F.33AF][.1139.0020.001F.33AF] # SQUARE RAD OVER S SQUARED; QQKN
20A8  ; [.130C.0020.000A.20A8][.1342.0020.0004.20A8] # RUPEE SIGN; QQKN
0280  ; [.1310.0020.0002.0280] # LATIN LETTER SMALL CAPITAL R
01A6  ; [.1310.0020.0008.01A6] # LATIN LETTER YR
A75B  ; [.1314.0020.0002.A75B] # LATIN SMALL LETTER R ROTUNDA
A75A  ; [.1314.0020.0008.A75A] # LATIN CAPITAL LETTER R ROTUNDA
024D  ; [.1316.0020.0002.024D] # LATIN SMALL LETTER R WITH STROKE
024C  ; [.1316.0020.0008.024C] # LATIN CAPITAL LETTER R WITH STROKE
0279  ; [.131B.0020.0002.0279] # LATIN SMALL LETTER TURNED R
02B4  ; [.131B.0020.0014.02B4] # MODIFIER LETTER SMALL TURNED R; QQK
027A  ; [.1320.0020.0002.027A] # LATIN SMALL LETTER TURNED R WITH LONG LEG
027B  ; [.1325.0020.0002.027B] # LATIN SMALL LETTER TURNED R WITH HOOK
02B5  ; [.1325.0020.0014.02B5] # MODIFIER LETTER SMALL TURNED R WITH HOOK; QQK
2C79  ; [.1329.0020.0002.2C79] # LATIN SMALL LETTER TURNED R WITH TAIL
027C  ; [.132A.0020.0002.027C] # LATIN SMALL LETTER R WITH LONG LEG
027D  ; [.132E.0020.0002.027D] # LATIN SMALL LETTER R WITH TAIL
2C64  ; [.132E.0020.0008.2C64] # LATIN CAPITAL LETTER R WITH TAIL
027E  ; [.1332.0020.0002.027E] # LATIN SMALL LETTER R WITH FISHHOOK
027F  ; [.1337.0020.0002.027F] # LATIN SMALL LETTER REVERSED R WITH FISHHOOK
0281  ; [.133B.0020.0002.0281] # LATIN LETTER SMALL CAPITAL INVERTED R
02B6  ; [.133B.0020.0014.02B6] # MODIFIER LETTER SMALL CAPITAL INVERTED R; QQK
A775  ; [.133F.0020.0002.A775] # LATIN SMALL LETTER RUM
A776  ; [.1340.0020.0002.A776] # LATIN LETTER SMALL CAPITAL RUM
A75D  ; [.1341.0020.0002.A75D] # LATIN SMALL LETTER RUM ROTUNDA
A75C  ; [.1341.0020.0008.A75C] # LATIN CAPITAL LETTER RUM ROTUNDA
0073  ; [.1342.0020.0002.0073] # LATIN SMALL LETTER S
FF53  ; [.1342.0020.0003.FF53] # FULLWIDTH LATIN SMALL LETTER S; QQK
24AE  ; [*02C8.0020.0004.24AE][.1342.0020.0004.24AE][*02C9.0020.001F.24AE] # PARENTHESIZED LATIN SMALL LETTER S; QQKN
24E2  ; [.1342.0020.0006.24E2] # CIRCLED LATIN SMALL LETTER S; QQK
0053  ; [.1342.0020.0008.0053] # LATIN CAPITAL LETTER S
FF33  ; [.1342.0020.0009.FF33] # FULLWIDTH LATIN CAPITAL LETTER S; QQK
24C8  ; [.1342.0020.000C.24C8] # CIRCLED LATIN CAPITAL LETTER S; QQK
02E2  ; [.1342.0020.0014.02E2] # MODIFIER LETTER SMALL S; QQK
015B  ; [.1342.0020.0002.0073][.0000.0032.0002.0301] # LATIN SMALL LETTER S WITH ACUTE; QQCM
015A  ; [.1342.0020.0008.0053][.0000.0032.0002.0301] # LATIN CAPITAL LETTER S WITH ACUTE; QQCM
1E65  ; [.1342.0020.0002.0073][.0000.0032.0002.0301][.0000.0052.0002.0307] # LATIN SMALL LETTER S WITH ACUTE AND DOT ABOVE; QQCM
1E64  ; [.1342.0020.0008.0053][.0000.0032.0002.0301][.0000.0052.0002.0307] # LATIN CAPITAL LETTER S WITH ACUTE AND DOT ABOVE; QQCM
015D  ; [.1342.0020.0002.0073][.0000.003C.0002.0302] # LATIN SMALL LETTER S WITH CIRCUMFLEX; QQCM
015C  ; [.1342.0020.0008.0053][.0000.003C.0002.0302] # LATIN CAPITAL LETTER S WITH CIRCUMFLEX; QQCM
0161  ; [.1342.0020.0002.0073][.0000.0041.0002.030C] # LATIN SMALL LETTER S WITH CARON; QQCM
0160  ; [.1342.0020.0008.0053][.0000.0041.0002.030C] # LATIN CAPITAL LETTER S WITH CARON; QQCM
1E67  ; [.1342.0020.0002.0073][.0000.0041.0002.030C][.0000.0052.0002.0307] # LATIN SMALL LETTER S WITH CARON AND DOT ABOVE; QQCM
1E66  ; [.1342.0020.0008.0053][.0000.0041.0002.030C][.0000.0052.0002.0307] # LATIN CAPITAL LETTER S WITH CARON AND DOT ABOVE; QQCM
1E61  ; [.1342.0020.0002.0073][.0000.0052.0002.0307] # LATIN SMALL LETTER S WITH DOT ABOVE; QQCM
1E60  ; [.1342.0020.0008.0053][.0000.0052.0002.0307] # LATIN CAPITAL LETTER S WITH DOT ABOVE; QQCM
015F  ; [.1342.0020.0002.0073][.0000.0056.0002.0327] # LATIN SMALL LETTER S WITH CEDILLA; QQCM
015E  ; [.1342.0020.0008.0053][.0000.0056.0002.0327] # LATIN CAPITAL LETTER S WITH CEDILLA; QQCM
1E63  ; [.1342.0020.0002.0073][.0000.007A.0002.0323] # LATIN SMALL LETTER S WITH DOT BELOW; QQCM
1E62  ; [.1342.0020.0008.0053][.0000.007A.0002.0323] # LATIN CAPITAL LETTER S WITH DOT BELOW; QQCM
1E69  ; [.1342.0020.0002.0073][.0000.007A.0002.0323][.0000.0052.0002.0307] # LATIN SMALL LETTER S WITH DOT BELOW AND DOT ABOVE; QQCM
1E68  ; [.1342.0020.0008.0053][.0000.007A.0002.0323][.0000.0052.0002.0307] # LATIN CAPITAL LETTER S WITH DOT BELOW AND DOT ABOVE; QQCM
0219  ; [.1342.0020.0002.0073][.0000.0081.0002.0326] # LATIN SMALL LETTER S WITH COMMA BELOW; QQCM
0218  ; [.1342.0020.0008.0053][.0000.0081.0002.0326] # LATIN CAPITAL LETTER S WITH COMMA BELOW; QQCM
017F  ; [.1342.0020.0004.017F][.0000.01B0.0004.017F] # LATIN SMALL LETTER LONG S; QQKN
A785  ; [.1342.0020.0004.A785][.0000.01B0.0004.A785] # LATIN SMALL LETTER INSULAR S; QQKN
A784  ; [.1342.0020.000A.A784][.0000.01B0.0004.A784] # LATIN CAPITAL LETTER INSULAR S; QQKN
1E9B  ; [.1342.0020.0004.1E9B][.0000.01B0.0004.1E9B][.0000.0052.0002.1E9B] # LATIN SMALL LETTER LONG S WITH DOT ABOVE; QQKN
2120  ; [.1342.0020.0014.2120][.1291.0020.0014.2120] # SERVICE MARK; QQKN
33DB  ; [.1342.0020.001C.33DB][.130C.0020.001C.33DB] # SQUARE SR; QQKN
00DF  ; [.1342.0020.0004.00DF][.0000.01AF.0004.00DF][.1342.0020.001F.00DF] # LATIN SMALL LETTER SHARP S; QQKN
1E9E  ; [.1342.0020.000A.1E9E][.0000.01AF.0004.1E9E][.1342.0020.001F.1E9E] # LATIN CAPITAL LETTER SHARP S; QQKN
FB06  ; [.1342.0020.0004.FB06][.1365.0020.0004.FB06] # LATIN SMALL LIGATURE ST; QQKN
FB05  ; [.1342.0020.0004.FB05][.0000.01B0.0004.FB05][.1365.0020.001F.FB05] # LATIN SMALL LIGATURE LONG S T; QQKN
33DC  ; [.1342.0020.001D.33DC][.13AD.0020.001C.33DC] # SQUARE SV; QQKN
A731  ; [.1346.0020.0002.A731] # LATIN LETTER SMALL CAPITAL S
0282  ; [.1349.0020.0002.0282] # LATIN SMALL LETTER S WITH HOOK
023F  ; [.134D.0020.0002.023F] # LATIN SMALL LETTER S WITH SWASH TAIL
1E9C  ; [.1351.0020.0002.1E9C] # LATIN SMALL LETTER LONG S WITH DIAGONAL STROKE
1E9D  ; [.1352.0020.0002.1E9D] # LATIN SMALL LETTER LONG S WITH HIGH STROKE
0283  ; [.1353.0020.0002.0283] # LATIN SMALL LETTER ESH
01A9  ; [.1353.0020.0008.01A9] # LATIN CAPITAL LETTER ESH
01AA  ; [.1358.0020.0002.01AA] # LATIN LETTER REVERSED ESH LOOP
0285  ; [.135C.0020.0002.0285] # LATIN SMALL LETTER SQUAT REVERSED ESH
0286  ; [.1361.0020.0002.0286] # LATIN SMALL LETTER ESH WITH CURL
0074  ; [.1365.0020.0002.0074] # LATIN SMALL LETTER T
FF54  ; [.1365.0020.0003.FF54] # FULLWIDTH LATIN SMALL LETTER T; QQK
036D  ; [.1365.0020.0004.036D] # COMBINING LATIN SMALL LETTER T; QQK
24AF  ; [*02C8.0020.0004.24AF][.1365.0020.0004.24AF][*02C9.0020.001F.24AF] # PARENTHESIZED LATIN SMALL LETTER T; QQKN
24E3  ; [.1365.0020.0006.24E3] # CIRCLED LATIN SMALL LETTER T; QQK
0054  ; [.1365.0020.0008.0054] # LATIN CAPITAL LETTER T
FF34  ; [.1365.0020.0009.FF34] # FULLWIDTH LATIN CAPITAL LETTER T; QQK
24C9  ; [.1365.0020.000C.24C9] # CIRCLED LATIN CAPITAL LETTER T; QQK
0165  ; [.1365.0020.0002.0074][.0000.0041.0002.030C] # LATIN SMALL LETTER T WITH CARON; QQCM
0164  ; [.1365.0020.0008.0054][.0000.0041.0002.030C] # LATIN CAPITAL LETTER T WITH CARON; QQCM
1E97  ; [.1365.0020.0002.0074][.0000.0047.0002.0308] # LATIN SMALL LETTER T WITH DIAERESIS; QQCM
1E6B  ; [.1365.0020.0002.0074][.0000.0052.0002.0307] # LATIN SMALL LETTER T WITH DOT ABOVE; QQCM
1E6A  ; [.1365.0020.0008.0054][.0000.0052.0002.0307] # LATIN CAPITAL LETTER T WITH DOT ABOVE; QQCM
0163  ; [.1365.0020.0002.0074][.0000.0056.0002.0327] # LATIN SMALL LETTER T WITH CEDILLA; QQCM
0162  ; [.1365.0020.0008.0054][.0000.0056.0002.0327] # LATIN CAPITAL LETTER T WITH CEDILLA; QQCM
1E6D  ; [.1365.0020.0002.0074][.0000.007A.0002.0323] # LATIN SMALL LETTER T WITH DOT BELOW; QQCM
1E6C  ; [.1365.0020.0008.0054][.0000.007A.0002.0323] # LATIN CAPITAL LETTER T WITH DOT BELOW; QQCM
021B  ; [.1365.0020.0002.0074][.0000.0081.0002.0326] # LATIN SMALL LETTER T WITH COMMA BELOW; QQCM
021A  ; [.1365.0020.0008.0054][.0000.0081.0002.0326] # LATIN CAPITAL LETTER T WITH COMMA BELOW; QQCM
1E71  ; [.1365.0020.0002.0074][.0000.0086.0002.032D] # LATIN SMALL LETTER T WITH CIRCUMFLEX BELOW; QQCM
1E70  ; [.1365.0020.0008.0054][.0000.0086.0002.032D] # LATIN CAPITAL LETTER T WITH CIRCUMFLEX BELOW; QQCM
1E6F  ; [.1365.0020.0002.0074][.0000.008A.0002.0331] # LATIN SMALL LETTER T WITH LINE BELOW; QQCM
1E6E  ; [.1365.0020.0008.0054][.0000.008A.0002.0331] # LATIN CAPITAL LETTER T WITH LINE BELOW; QQCM
A787  ; [.1365.0020.0004.A787][.0000.01B0.0004.A787] # LATIN SMALL LETTER INSULAR T; QQKN
A786  ; [.1365.0020.000A.A786][.0000.01B0.0004.A786] # LATIN CAPITAL LETTER INSULAR T; QQKN
02A8  ; [.1365.0020.0004.02A8][.117C.0020.0004.02A8] # LATIN SMALL LETTER TC DIGRAPH WITH CURL; QQKN
2121  ; [.1365.0020.000A.2121][.119D.0020.000A.2121][.1262.0020.001F.2121] # TELEPHONE SIGN; QQKN
3394  ; [.1365.0020.001D.3394][.1205.0020.001D.3394][.13DF.0020.001F.3394] # SQUARE THZ; QQKN
2122  ; [.1365.0020.0014.2122][.1291.0020.0014.2122] # TRADE MARK SIGN; QQKN
01BE  ; [.1365.0020.0004.01BE][.1342.0020.0004.01BE] # LATIN LETTER INVERTED GLOTTAL STOP WITH STROKE; QQKN
02A6  ; [.1365.0020.0004.02A6][.1342.0020.0004.02A6] # LATIN SMALL LETTER TS DIGRAPH; QQKN
02A7  ; [.1365.0020.0004.02A7][.1353.0020.0004.02A7] # LATIN SMALL LETTER TESH DIGRAPH; QQKN
A729  ; [.1365.0020.0004.A729][.13DF.0020.0004.A729] # LATIN SMALL LETTER TZ; QQKN
A728  ; [.1365.0020.000A.A728][.13DF.0020.0004.A728] # LATIN CAPITAL LETTER TZ; QQKN
0167  ; [.136A.0020.0002.0167] # LATIN SMALL LETTER T WITH STROKE
0166  ; [.136A.0020.0008.0166] # LATIN CAPITAL LETTER T WITH STROKE
2C66  ; [.136E.0020.0002.2C66] # LATIN SMALL LETTER T WITH DIAGONAL STROKE
023E  ; [.136E.0020.0008.023E] # LATIN CAPITAL LETTER T WITH DIAGONAL STROKE
01AB  ; [.1370.0020.0002.01AB] # LATIN SMALL LETTER T WITH PALATAL HOOK
01AD  ; [.1374.0020.0002.01AD] # LATIN SMALL LETTER T WITH HOOK
01AC  ; [.1374.0020.0008.01AC] # LATIN CAPITAL LETTER T WITH HOOK
0288  ; [.1378.0020.0002.0288] # LATIN SMALL LETTER T WITH RETROFLEX HOOK
01AE  ; [.1378.0020.0008.01AE] # LATIN CAPITAL LETTER T WITH RETROFLEX HOOK
0236  ; [.137C.0020.0002.0236] # LATIN SMALL LETTER T WITH CURL
A777  ; [.1380.0020.0002.A777] # LATIN SMALL LETTER TUM
0287  ; [.1381.0020.0002.0287] # LATIN SMALL LETTER TURNED T
0075  ; [.1385.0020.0002.0075] # LATIN SMALL LETTER U
FF55  ; [.1385.0020.0003.FF55] # FULLWIDTH LATIN SMALL LETTER U; QQK
0367  ; [.1385.0020.0004.0367] # COMBINING LATIN SMALL LETTER U; QQK
24B0  ; [*02C8.0020.0004.24B0][.1385.0020.0004.24B0][*02C9.0020.001F.24B0] # PARENTHESIZED LATIN SMALL LETTER U; QQKN
24E4  ; [.1385.0020.0006.24E4] # CIRCLED LATIN SMALL LETTER U; QQK
0055  ; [.1385.0020.0008.0055] # LATIN CAPITAL LETTER U
FF35  ; [.1385.0020.0009.FF35] # FULLWIDTH LATIN CAPITAL LETTER U; QQK
24CA  ; [.1385.0020.000C.24CA] # CIRCLED LATIN CAPITAL LETTER U; QQK
00FA  ; [.1385.0020.0002.0075][.0000.0032.0002.0301] # LATIN SMALL LETTER U WITH ACUTE; QQCM
00DA  ; [.1385.0020.0008.0055][.0000.0032.0002.0301] # LATIN CAPITAL LETTER U WITH ACUTE; QQCM
00F9  ; [.1385.0020.0002.0075][.0000.0035.0002.0300] # LATIN SMALL LETTER U WITH GRAVE; QQCM
00D9  ; [.1385.0020.0008.0055][.0000.0035.0002.0300] # LATIN CAPITAL LETTER U WITH GRAVE; QQCM
016D  ; [.1385.0020.0002.0075][.0000.0037.0002.0306] # LATIN SMALL LETTER U WITH BREVE; QQCM
016C  ; [.1385.0020.0008.0055][.0000.0037.0002.0306] # LATIN CAPITAL LETTER U WITH BREVE; QQCM
00FB  ; [.1385.0020.0002.0075][.0000.003C.0002.0302] # LATIN SMALL LETTER U WITH CIRCUMFLEX; QQCM
00DB  ; [.1385.0020.0008.0055][.0000.003C.0002.0302] # LATIN CAPITAL LETTER U WITH CIRCUMFLEX; QQCM
01D4  ; [.1385.0020.0002.0075][.0000.0041.0002.030C] # LATIN SMALL LETTER U WITH CARON; QQCM
01D3  ; [.1385.0020.0008.0055][.0000.0041.0002.030C] # LATIN CAPITAL LETTER U WITH CARON; QQCM
016F  ; [.1385.0020.0002.0075][.0000.0043.0002.030A] # LATIN SMALL LETTER U WITH RING ABOVE; QQCM
016E  ; [.1385.0020.0008.0055][.0000.0043.0002.030A] # LATIN CAPITAL LETTER U WITH RING ABOVE; QQCM
00FC  ; [.1385.0020.0002.0075][.0000.0047.0002.0308] # LATIN SMALL LETTER U WITH DIAERESIS; QQCM
00DC  ; [.1385.0020.0008.0055][.0000.0047.0002.0308] # LATIN CAPITAL LETTER U WITH DIAERESIS; QQCM
01D8  ; [.1385.0020.0002.0075][.0000.0047.0002.0308][.0000.0032.0002.0301] # LATIN SMALL LETTER U WITH DIAERESIS AND ACUTE; QQCM
01D7  ; [.1385.0020.0008.0055][.0000.0047.0002.0308][.0000.0032.0002.0301] # LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE; QQCM
01DC  ; [.1385.0020.0002.0075][.0000.0047.0002.0308][.0000.0035.0002.0300] # LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE; QQCM
01DB  ; [.1385.0020.0008.0055][.0000.0047.0002.0308][.0000.0035.0002.0300] # LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE; QQCM
01DA  ; [.1385.0020.0002.0075][.0000.0047.0002.0308][.0000.0041.0002.030C] # LATIN SMALL LETTER U WITH DIAERESIS AND CARON; QQCM
01D9  ; [.1385.0020.0008.0055][.0000.0047.0002.0308][.0000.0041.0002.030C] # LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON; QQCM
01D6  ; [.1385.0020.0002.0075][.0000.0047.0002.0308][.0000.005B.0002.0304] # LATIN SMALL LETTER U WITH DIAERESIS AND MACRON; QQCM
01D5  ; [.1385.0020.0008.0055][.0000.0047.0002.0308][.0000.005B.0002.0304] # LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON; QQCM
0171  ; [.1385.0020.0002.0075][.0000.004D.0002.030B] # LATIN SMALL LETTER U WITH DOUBLE ACUTE; QQCM
0170  ; [.1385.0020.0008.0055][.0000.004D.0002.030B] # LATIN CAPITAL LETTER U WITH DOUBLE ACUTE; QQCM
0169  ; [.1385.0020.0002.0075][.0000.004E.0002.0303] # LATIN SMALL LETTER U WITH TILDE; QQCM
0168  ; [.1385.0020.0008.0055][.0000.004E.0002.0303] # LATIN CAPITAL LETTER U WITH TILDE; QQCM
1E79  ; [.1385.0020.0002.0075][.0000.004E.0002.0303][.0000.0032.0002.0301] # LATIN SMALL LETTER U WITH TILDE AND ACUTE; QQCM
1E78  ; [.1385.0020.0008.0055][.0000.004E.0002.0303][.0000.0032.0002.0301] # LATIN CAPITAL LETTER U WITH TILDE AND ACUTE; QQCM
0173  ; [.1385.0020.0002.0075][.0000.0059.0002.0328] # LATIN SMALL LETTER U WITH OGONEK; QQCM
0172  ; [.1385.0020.0008.0055][.0000.0059.0002.0328] # LATIN CAPITAL LETTER U WITH OGONEK; QQCM
016B  ; [.1385.0020.0002.0075][.0000.005B.0002.0304] # LATIN SMALL LETTER U WITH MACRON; QQCM
016A  ; [.1385.0020.0008.0055][.0000.005B.0002.0304] # LATIN CAPITAL LETTER U WITH MACRON; QQCM
1E7B  ; [.1385.0020.0002.0075][.0000.005B.0002.0304][.0000.0047.0002.0308] # LATIN SMALL LETTER U WITH MACRON AND DIAERESIS; QQCM
1E7A  ; [.1385.0020.0008.0055][.0000.005B.0002.0304][.0000.0047.0002.0308] # LATIN CAPITAL LETTER U WITH MACRON AND DIAERESIS; QQCM
1EE7  ; [.1385.0020.0002.0075][.0000.0060.0002.0309] # LATIN SMALL LETTER U WITH HOOK ABOVE; QQCM
1EE6  ; [.1385.0020.0008.0055][.0000.0060.0002.0309] # LATIN CAPITAL LETTER U WITH HOOK ABOVE; QQCM
0215  ; [.1385.0020.0002.0075][.0000.0063.0002.030F] # LATIN SMALL LETTER U WITH DOUBLE GRAVE; QQCM
0214  ; [.1385.0020.0008.0055][.0000.0063.0002.030F] # LATIN CAPITAL LETTER U WITH DOUBLE GRAVE; QQCM
0217  ; [.1385.0020.0002.0075][.0000.0065.0002.0311] # LATIN SMALL LETTER U WITH INVERTED BREVE; QQCM
0216  ; [.1385.0020.0008.0055][.0000.0065.0002.0311] # LATIN CAPITAL LETTER U WITH INVERTED BREVE; QQCM
01B0  ; [.1385.0020.0002.0075][.0000.006D.0002.031B] # LATIN SMALL LETTER U WITH HORN; QQCM
01AF  ; [.1385.0020.0008.0055][.0000.006D.0002.031B] # LATIN CAPITAL LETTER U WITH HORN; QQCM
1EE9  ; [.1385.0020.0002.0075][.0000.006D.0002.031B][.0000.0032.0002.0301] # LATIN SMALL LETTER U WITH HORN AND ACUTE; QQCM
1EE8  ; [.1385.0020.0008.0055][.0000.006D.0002.031B][.0000.0032.0002.0301] # LATIN CAPITAL LETTER U WITH HORN AND ACUTE; QQCM
1EEB  ; [.1385.0020.0002.0075][.0000.006D.0002.031B][.0000.0035.0002.0300] # LATIN SMALL LETTER U WITH HORN AND GRAVE; QQCM
1EEA  ; [.1385.0020.0008.0055][.0000.006D.0002.031B][.0000.0035.0002.0300] # LATIN CAPITAL LETTER U WITH HORN AND GRAVE; QQCM
